SKU_COD,MODEL_COD,BRAND_DES,MD_SKU_STATUS_COD,PRODUCT_TYPE_COD,COLOR,COLOR_FAMILY_1_DES,ZLENSCODE,filename_root,USERGENDER_DES,CTM_FIRST_FRONT_MATERIAL_DES,SHAPE_SEMI_GROUPED,GRANULAR_SHAPE_AWS,CTM_FIRST_TEMPLE_MATERIAL_DES,FlatTop_FlatTop_1,SIZE_COD,LENSHEIGHTVAL,BRIDGE_LENGTH,LENS_BASE,RIM_TYPE_DES
110312RHL4919,110312,KATE SPADE,IL,1,RHL,GD,00,1103120RHL00,WOMAN,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,41.0,19,4,FULL RIM
110314EYR4819,110314,KATE SPADE,,1,EYR,GD,00,1103140EYR00,WOMAN,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,48,42.9,19,4,FULL RIM
110315F8X5020,110315,KATE SPADE,IL,1,F8X,RD,00,1103150F8X00,WOMAN,ACETATE,ROUNDISH,PANTOS,METAL,NOFLATTOP,50,40.5,20,4,FULL RIM
110325PJP5319,110325,CAROLINA HERRERA,IL,1,PJP,BL,00,1103250PJP00,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR CAT EYE,ACETATE,NOFLATTOP,53,42.0,19,4,FULL RIM
110336WTA5517,110336,PRIVE' REVAUX,IL,1,WTA,BL,00,1103360WTA00,MAN,ACETATE,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,55,38.3,17,4,FULL RIM
110337FL45321,110337,PRIVE' REVAUX,IL,1,FL4,CR,00,1103370FL400,MAN,ACETATE,SQUARETANGULAR_SOFT,RECTANGULAR SOFT,ACETATE,NOFLATTOP,53,43.5,21,4,FULL RIM
110337OXZ5321,110337,PRIVE' REVAUX,IL,1,OXZ,BL,00,1103370OXZ00,MAN,ACETATE,SQUARETANGULAR_SOFT,RECTANGULAR SOFT,ACETATE,NOFLATTOP,53,43.5,21,4,FULL RIM
110339KB75317,110339,PRIVE' REVAUX,IL,1,KB7,GY,00,1103390KB700,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,METAL,NOFLATTOP,53,41.0,17,4,FULL RIM
110339ZI95317,110339,PRIVE' REVAUX,IL,1,ZI9,BL,00,1103390ZI900,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,METAL,NOFLATTOP,53,41.0,17,4,FULL RIM
110340FWM5416,110340,PRIVE' REVAUX,IL,1,FWM,PK,00,1103400FWM00,WOMAN,ACETATE,SQUARETANGULAR,SQUARE,METAL,NOFLATTOP,54,46.0,16,4,FULL RIM
110346TUI5219,110346,PRIVE' REVAUX,IL,1,TUI,BW,00,1103460TUI00,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,ACETATE,NOFLATTOP,52,46.0,19,4,FULL RIM
110346ZI95219,110346,PRIVE' REVAUX,IL,1,ZI9,BL,00,1103460ZI900,WOMAN,ACETATE,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,ACETATE,NOFLATTOP,52,46.0,19,4,FULL RIM
110356LHF4922,110356,KATE SPADE,IL,1,LHF,BU,00,1103560LHF00,WOMAN,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,46.0,22,4,FULL RIM
110356OO44922,110356,KATE SPADE,,1,OO4,HV,00,1103560OO400,WOMAN,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,46.0,22,4,FULL RIM
110357HKZ4922,110357,KATE SPADE,,1,HKZ,VL,00,1103570HKZ00,WOMAN,ACETATE,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,42.6,22,4,FULL RIM
110357HT84922,110357,KATE SPADE,IL,1,HT8,PK,00,1103570HT800,WOMAN,ACETATE,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,42.6,22,4,FULL RIM
110358MU15217,110358,MOSCHINO LOVE,IL,1,MU1,PK,00,1103580MU100,WOMAN,INJECTED,SQUARETANGULAR_CAT_EYE,RECTANGULAR TRAPEZIANGULAR,INJECTED,NOFLATTOP,52,40.0,17,4,FULL RIM
110359ZI95218,110359,MOSCHINO LOVE,IL,1,ZI9,BL,00,1103590ZI900,WOMAN,INJECTED,SQUARETANGULAR_CAT_EYE,RECTANGULAR CAT EYE,INJECTED,NOFLATTOP,52,41.021739130434796,18,4,FULL RIM
110405PJP5115,110405,TOMMY HILFIGER,IL,1,PJP,BL,00,1104050PJP00,TEEN,INJECTED,SQUARETANGULAR,RECTANGULAR,INJECTED,NOFLATTOP,51,33.7,15,4,FULL RIM
110419KB75121,110419,POLAROID,IL,1,KB7,GY,00,1104190KB700,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,51,40.60909090909092,21,2,FULL RIM
110419PJP5121,110419,POLAROID,IL,1,PJP,BL,00,1104190PJP00,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,51,40.60909090909092,21,2,FULL RIM
110420KB75319,110420,POLAROID,IL,1,KB7,GY,00,1104200KB700,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,53,40.92777777777778,19,2,FULL RIM
110420PJP5319,110420,POLAROID,IL,1,PJP,BL,00,1104200PJP00,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,53,40.92777777777778,19,2,FULL RIM
110421PJP5419,110421,POLAROID,IL,1,PJP,BL,00,1104210PJP00,MAN,INJECTED,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,54,37.22857142857142,19,2,FULL RIM
110422DOH5419,110422,POLAROID,IL,1,DOH,GY,00,1104220DOH00,MAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,54,37.22857142857142,19,2,FULL RIM
110422RHL5419,110422,POLAROID,IL,1,RHL,GD,00,1104220RHL00,MAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,54,37.22857142857142,19,2,FULL RIM
110423LKS5519,110423,POLAROID,IL,1,LKS,GD,00,1104230LKS00,MAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,55,41.145833333333336,19,2,FULL RIM
110424ANS5619,110424,POLAROID,IL,1,ANS,BK,00,1104240ANS00,MAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,56,41.315384615384616,19,2,FULL RIM
110424V845619,110424,POLAROID,IL,1,V84,GY,00,1104240V8400,MAN,METAL,SQUARETANGULAR,RECTANGULAR,METAL,NOFLATTOP,56,41.315384615384616,19,2,FULL RIM
110425J5G5320,110425,POLAROID,IL,1,J5G,GD,00,1104250J5G00,UNISEX ADULT,METAL,OVAL,OVAL,METAL,NOFLATTOP,53,40.8,20,2,FULL RIM
110426DDB5221,110426,POLAROID,IL,1,DDB,GD,00,1104260DDB00,UNISEX ADULT,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,52,46.69062500000001,21,2,FULL RIM
110427J5G5317,110427,POLAROID,IL,1,J5G,GD,00,1104270J5G00,UNISEX ADULT,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,53,48.519999999999996,17,2,FULL RIM
110428DDB5418,110428,POLAROID,IL,1,DDB,GD,00,1104280DDB00,UNISEX ADULT,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT GEOMETRICAL,METAL,NOFLATTOP,54,45.4,18,2,FULL RIM
110429J5G4820,110429,POLAROID,IL,1,J5G,GD,00,1104290J5G00,UNISEX ADULT,METAL,BUTTERFLY_ROUNDISH,RECTANGULAR SOFT GEOMETRICAL,METAL,NOFLATTOP,48,42.51666666666667,20,2,FULL RIM
110430RHL4920,110430,POLAROID,IL,1,RHL,GD,00,1104300RHL00,UNISEX ADULT,METAL,ROUNDISH,PANTOS,METAL,NOFLATTOP,49,44.23333333333333,20,2,FULL RIM
