Material,Shape Macro,Granular Shape,FlatTop_FlatTop_1,FlatTop_Confidence_1,browline_browline_1,browline_Confidence_1,bridge_Bridge_1,bridge_Confidence_1,LENS_BASE_DES,RIM_TYPE_DES
101756,Rectangular,Rectangular Farfangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
101836,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,RIMLESS
101837,Oval,Oval,,,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,RIMLESS
101844,Rectangular,Rectangular Farfangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 5 SPHERICAL,FULL RIM
101855,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 5 SPHERICAL,FULL RIM
101935,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102052,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102057,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102058,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102064,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102070,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 6 SPHERICAL,HALF RIM
102081,Panthos,Pantos,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102085,Square,Square,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102087,Rectangular,Rectangular Farfangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102095,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 6 SPHERICAL,FULL RIM
102096,Rectangular,Rectangular Active,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102099,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,HALF RIM
102103,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102112,Rectangular,Rectangular Farfangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,HALF RIM
102128,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102131,Panthos,Pantos,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102166,Rectangular,Rectangular Cat Eye,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102254,Rectangular,Rectangular Soft,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102258,Rectangular,Rectangular Soft,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102259,Panthos,Pantos,,,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102260,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102261,Rectangular,Rectangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102268,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102317,Square db,Square db,NoFlatTop,1.0,No Browline,1.0,Double,1.0,BASE 4 SPHERICAL,FULL RIM
102322,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102323,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102390,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 6 SPHERICAL,FULL RIM
102402,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102450,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102451,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102462,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102465,Rectangular,Rectangular Cat Eye,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
102469,Cat Eye,Cat Eye Roundish,,,No Browline,1.0,Single,1.0,BASE 6 SPHERICAL,FULL RIM
102488,Rectangular,Rectangular Farfangular,NoFlatTop,1.0,Half Rim,1.0,Single,1.0,BASE 4 SPHERICAL,HALF RIM
102508,Rectangular,Rectangular,NoFlatTop,1.0,No Browline,1.0,Single,1.0,BASE 4 SPHERICAL,FULL RIM
