MODEL_COD,filename_root,PRESENT
111032,111032006J00,YES
111032,111032085K00,YES
111032,1110320RHL00,YES
111033,11103302M200,YES
111033,11103305F600,YES
111033,1110330KY200,YES
111034,11103402M200,YES
111034,1110340BSU00,YES
111034,1110340KY200,YES
111035,11103502M000,YES
111035,1110350L3900,YES
111037,11103702M200,YES
111037,1110370ANS00,YES
111037,1110370DTY00,YES
111041,11104102W800,YES
111041,1110410PJP00,YES
111042,1110420ANS00,YES
111042,1110420DTY00,YES
111042,1110420J5G00,YES
111042,1110420YZ400,YES
111044,11104402OW00,YES
111044,1110440WTA00,YES
111045,111045005L00,YES
111045,11104501ED00,YES
111045,111045071C00,YES
111059,1110590NOA00,YES
111060,11106002M200,YES
111062,111062010A00,YES
111062,11106206AK00,YES
111063,11106306AK00,YES
111063,1110630ZI900,YES
111064,1110640CVT00,YES
111064,1110640LHF00,YES
111064,1110640MAP00,YES
111065,1110650LHF00,YES
111065,1110650MVU00,YES
111067,111067006J00,YES
111067,1110670OGA00,YES
111067,1110670RHL00,YES
111068,111068009Q00,YES
111068,1110680MVU00,YES
111069,1110690CVT00,YES
111069,1110690FWM00,YES
111069,1110690LHF00,YES
111070,1110700X8Q00,YES
111070,1110700ZI900,YES
111072,111072009Q00,YES
111072,1110720UAV00,YES
111073,11107303Y500,YES
111073,1110730JRI00,YES
111074,111074009Q00,YES
111074,1110740JRI00,YES
111081,1110810MVU00,YES
111081,1110810UAV00,YES
111098,1110980JRI00,YES
111098,1110980LHF00,YES
111099,11109903YG00,YES
111099,1110990DDB00,YES
111099,1110990RHL00,YES
111102,1111020LHF00,YES
111102,1111020MAP00,YES
111103,11110300B000,YES
111103,1111030JWJ00,YES
111103,1111030LHF00,YES
111104,1111040X8Q00,YES
111104,1111040ZI900,YES
111105,1111050J5G00,YES
111105,1111050RHL00,YES
111108,1111080J5G00,YES
111108,1111080RHL00,YES
111109,1111090C4B00,YES
111110,1111100ZX900,YES
111111,1111110ANS00,YES
111112,1111120ANS00,YES
111112,1111120EX400,YES
111114,1111140C9A00,YES
111114,1111140PJP00,YES
111116,111116038I00,YES
111118,1111180C9A00,YES
111118,1111180ZI900,YES
